MSSubClass,LotFrontage,LotArea,OverallQual,WoodDeckSF,OpenPorchSF,TotalBsmtSF,FloorSF,SalePrice
20,71,7064,5,192,0,980,67990,135000
160,NA,2117,6,0,32,756,84628,168500
60,80,10400,6,148,0,732,82941,165150
20,87,10000,6,0,0,1116,80558,160000
20,NA,12342,5,0,0,978,70439,139900
80,80,9600,6,0,0,1156,77078,153000
60,70,11606,5,335,0,1040,68020,135000
80,82,9020,6,176,0,1248,84874,168500
70,50,9000,5,0,0,636,62318,124000
120,34,4590,8,156,73,1554,105527,209500
20,85,11900,7,192,0,1386,41943,82500
20,80,9250,5,390,0,1056,70228,139400
90,64,6979,6,264,56,1056,72528,144000
190,60,10896,6,0,110,1440,100720,200000
30,51,6120,2,0,0,264,30132,60000
190,50,6000,5,0,0,811,46905.5,93000
30,67,8777,5,328,0,796,42898,85000
120,53,3982,8,312,0,1520,133040.5,264561
120,62,12677,8,185,140,1518,137759,274000
60,NA,7050,7,0,235,1057,113528.5,226000
80,75,13860,8,269,111,1952,173476,345000
60,80,10793,5,208,0,780,76390,152000
20,85,9187,9,195,130,1766,186322,370878
20,NA,10530,6,0,312,981,72115.5,143250
20,60,7200,5,0,27,0,49150,98300
20,85,10452,6,0,0,1094,78047,155000
60,70,7700,6,0,124,756,77878,155000
180,21,1936,4,0,0,630,42565,84500
60,65,8125,7,0,0,813,103381.5,205950
70,60,9084,4,120,0,755,54377.5,108000
60,70,8750,7,0,120,880,95940,191000
50,60,10320,6,57,0,756,67878,135000
20,91,10437,8,236,46,2109,176054.5,350000
160,21,1680,6,0,0,525,44262.5,88000
20,72,10007,5,0,0,1053,73276.5,145500
70,60,7200,7,0,0,776,74888,149000
50,78,17503,6,192,0,912,49206,97500
20,75,9937,5,0,0,1486,84243,167000
60,NA,12384,7,0,113,793,99346.5,197900
60,52,46589,8,517,76,1629,201814.5,402000
20,120,13560,6,0,0,1392,55696,110000
85,90,10012,4,0,0,1138,69319,137500
20,49,20896,8,192,267,2077,212538.5,423000
60,106,11194,8,188,124,1406,115953,230500
60,NA,18450,6,0,265,1021,65010.5,129000
20,65,8125,6,224,42,1408,97454,193500
20,NA,14175,5,304,0,1188,84594,168000
30,80,11600,4,0,0,700,69100,137500
60,64,8633,6,100,35,738,87119,173500
70,54,6629,6,147,0,672,52136,103600
20,NA,11250,6,198,42,1208,83104,165000
20,110,14442,6,0,87,1477,129488.5,257500
20,80,9200,6,426,0,1136,70568,140000
160,24,2289,6,28,0,855,74677.5,148500
70,60,9600,4,0,0,1095,44047.5,87000
30,52,9022,5,316,0,768,55134,109500
20,80,11844,8,322,82,2046,187273,372500
20,NA,9945,5,0,0,988,64744,128500
120,50,8012,6,80,0,923,71961.5,143000
50,55,4500,5,0,0,793,80113.5,159434
120,NA,2887,6,307,0,1291,87145.5,173000
20,90,11248,9,257,45,1626,143313,285000
60,58,16770,7,0,81,1195,111097.5,221000
160,NA,5062,7,219,0,1190,104345,207500
60,84,10207,7,144,105,874,114374.5,227875
160,NA,5105,7,0,60,551,74675.5,148800
20,60,8089,8,140,0,1419,196709.5,392000
120,61,7577,6,192,28,1362,98031,194700
120,NA,4426,6,149,0,848,70924,141000
60,104,21535,10,382,50,2444,378722,755000
60,42,26178,7,320,27,1210,168105,335000
30,60,5400,5,0,0,1073,54776.5,108480
50,51,6120,5,112,0,927,71213.5,141500
20,54,13811,6,125,0,1112,88556,176000
30,50,6000,5,0,0,616,44808,89000
20,57,6420,5,0,0,980,62240,123500
20,65,8450,5,416,144,894,69697,138500
120,59,4282,7,156,158,1391,98695.5,196000
20,85,14331,8,270,78,1800,157150,312500
20,80,9600,7,0,0,1164,70582,140000
60,82,12438,8,324,100,1234,181576.5,361919
190,76,7630,5,344,0,360,70180,140000
20,70,8400,7,0,35,1473,107236.5,213000
190,70,5600,4,0,0,0,27500,55000
20,NA,115149,7,380,48,1643,151821.5,302000
120,48,6240,8,192,38,1324,127662,254000
60,65,9018,7,100,24,728,90134,179540
20,NA,7162,5,0,0,876,55388,109900
30,56,4130,3,0,0,270,26135,52000
50,66,8712,4,68,0,859,51817.5,102776
120,40,4671,8,168,120,1228,95114,189000
190,60,9873,4,0,288,960,64980,129000
60,NA,13517,6,0,44,725,65612.5,130500
20,78,10140,6,0,0,1064,83032,165000
70,60,10800,7,0,48,718,80109,159500
20,80,10000,5,224,0,1176,79088,157000
60,96,10542,7,250,154,1311,171155.5,341000
20,69,9920,5,0,0,971,64735.5,128500
120,NA,6563,8,114,28,1742,138371,275000
120,NA,4426,6,160,0,848,71924,143000
20,70,8120,4,0,0,864,62682,124500
50,60,8172,4,0,0,941,67970.5,135000
20,86,13286,9,327,64,1698,160849,320000
20,60,6960,4,96,0,864,60682,120500
20,NA,21695,6,292,44,880,111440,222000
20,64,7314,7,132,0,1232,97866,194500
90,85,11475,5,0,25,1584,55792,110000
30,52,6240,4,0,23,780,51890,103000
120,39,5389,8,237,152,1595,119047.5,236500
80,73,9590,7,160,22,868,94184,187500
60,75,11404,7,192,84,1153,111826.5,222500
20,80,10000,5,165,0,864,66132,131400
20,NA,8978,5,147,0,948,54474,108000
75,60,10800,7,0,341,880,81940,163000
90,60,8544,3,0,0,0,46750,93500
60,72,10463,8,0,116,893,120396.5,239900
90,60,10800,5,120,0,1200,90100,179000
60,65,9313,7,187,56,864,95432,190000
70,60,9600,5,270,0,264,66132,132000
20,65,6768,6,168,0,912,71456,142000
20,65,8450,7,120,55,1349,90174.5,179000
80,70,12886,5,302,0,520,87760,175000
120,41,5395,8,96,0,1337,90668.5,180000
60,NA,8963,8,0,204,1142,150471,299800
60,NA,8795,7,224,54,952,118476,236000
70,65,11700,7,181,0,1240,133609.5,265979
20,59,10593,7,240,56,1720,131060,260400
50,50,8405,4,92,0,0,49000,98000
50,55,8800,4,0,160,576,48538,96500
60,NA,7750,7,0,48,660,81330,162000
20,79,9236,6,168,27,1479,109239.5,217000
60,80,10240,8,192,52,1030,138265,275500
20,61,7930,6,171,48,1026,78513,156000
160,34,3230,6,0,24,729,86614.5,172500
60,68,10769,8,144,105,866,106433,212000
60,NA,11616,6,335,0,672,79786,158900
160,24,2280,7,0,0,744,90072,179400
60,65,12257,8,222,98,1318,145659,290000
20,70,9100,6,0,0,864,64182,127500
30,60,6911,5,0,0,1145,50572.5,100000
60,72,8640,7,169,45,756,107978,215200
60,82,9430,8,0,128,1252,169126,337000
120,30,9549,8,0,30,1494,135747,270000
20,75,14587,9,0,174,1498,132815,264132
60,80,10421,7,228,66,980,98740,196500
50,75,12508,6,245,0,983,80491.5,160000
20,70,9100,7,120,33,1860,109348.5,216837
60,47,53504,8,503,36,1650,269825,538000
85,NA,7252,5,120,0,858,67879,134900
20,67,8877,4,0,0,836,51418,102000
80,94,7819,6,144,0,1029,54014.5,107000
20,70,10150,5,0,0,912,57706,114500
20,110,14226,8,315,45,1935,198467.5,395000
120,32,4500,6,0,247,1204,81602,162000
20,86,11210,7,144,59,1614,111557,221500
20,100,13350,5,241,0,864,71682,142500
90,60,8400,5,0,0,0,72000,144000
90,78,10530,6,0,0,975,67987.5,135000
20,63,7875,7,220,21,1237,88618.5,176000
60,65,7153,6,0,124,761,88330.5,175900
20,67,16285,7,0,33,1413,94256.5,187100
85,NA,9101,5,303,30,1097,83298.5,165500
75,35,6300,6,0,291,742,64371,128000
20,NA,9790,6,0,0,1372,81436,161500
50,60,10800,5,0,0,686,69843,139000
60,76,10142,7,0,45,956,116978,233000
20,50,6000,4,0,0,901,54400.5,107900
60,NA,12205,6,133,168,832,94166,187500
120,43,3182,7,100,16,1145,80672.5,160200
80,NA,11333,6,120,0,1029,73914.5,146800
60,92,9920,7,180,130,1117,135453.5,269790
20,76,9158,8,168,130,1496,113248,225000
60,NA,10832,7,143,46,712,97606,194500
60,70,8400,6,0,50,650,85825,171000
20,71,8197,6,138,0,660,72080,143500
20,57,7677,5,0,0,773,55386.5,110000
60,104,13518,9,144,78,1926,243463,485000
50,60,7200,5,0,0,731,87865.5,175000
60,79,12798,6,403,114,616,100308,200000
30,40,4800,4,0,0,1196,55548,109900
60,63,8199,7,36,18,728,94864,189000
60,107,13891,9,52,170,1734,292333.5,582933
20,75,9000,5,0,0,936,59468,118000
20,91,12274,7,0,60,1417,114548.5,227680
80,75,9750,5,68,0,980,68240,135500
70,144,21384,5,0,312,1324,112412,223500
80,85,13400,5,0,0,1024,80487,159950
75,90,8100,5,40,156,849,53424.5,106000
20,78,10140,6,265,0,1040,91020,181000
120,NA,4438,6,140,0,848,72674,144500
20,66,8712,5,0,0,540,28266.5,55993
20,75,9750,6,0,0,1442,79671,157900
50,45,8248,5,207,0,686,58343,116000
20,48,12137,7,0,34,1649,113274.5,224900
20,NA,11425,5,0,0,1008,69004,137000
20,NA,13265,8,150,59,1568,136284,271000
80,80,8816,6,0,0,1010,78005,155000
120,44,6371,7,192,35,1358,112679,224000
60,72,7226,7,0,45,798,91899,183000
20,60,6000,4,0,32,936,46968,93000
60,NA,12394,7,100,48,847,112923.5,225000
50,60,9900,6,335,0,778,70139,139500
20,81,11216,8,0,140,1489,117044.5,232600
20,114,14803,10,188,45,2078,193539,385000
45,50,6130,5,0,0,784,55142,109500
20,65,8529,7,290,39,1454,95227,189000
60,NA,28698,5,486,0,1013,93006.5,185000
160,24,2544,7,0,166,600,74000,147400
20,80,11900,6,0,0,1392,83696,166000
160,30,3180,7,0,166,600,75800,151000
60,44,9548,7,192,39,941,118970.5,237000
20,100,10004,6,0,0,1516,84258,167000
20,75,7875,5,0,0,1144,70547,139950
20,60,9600,4,290,0,1067,64533.5,128000
30,90,8100,5,0,116,1559,77529.5,153500
160,21,1680,6,0,0,483,50241.5,100000
20,75,9525,5,278,0,1099,72549.5,144000
50,70,11767,5,0,0,768,65634,130500
70,NA,12155,6,0,0,672,70336,140000
70,60,10440,5,70,78,650,79075,157500
80,82,9020,6,0,129,1127,88013.5,174900
90,80,8000,5,0,0,1800,71400,141000
50,100,12665,5,418,0,876,77388,153900
85,NA,16647,5,0,0,1390,86195,171000
60,75,9317,7,234,72,740,106870,213000
20,36,15523,5,0,0,864,67182,133500
50,75,45600,6,486,40,907,120453.5,240000
80,80,9600,6,113,100,528,93764,187000
120,36,4435,6,140,0,848,66174,131500
120,NA,3196,8,143,20,1273,108136.5,215000
75,53,7128,7,0,0,918,82459,164000
80,NA,12095,6,180,0,1127,79563.5,158000
20,102,17920,5,0,418,1763,85881.5,170000
20,NA,6897,5,0,104,1040,64020,127000
80,NA,10970,6,0,0,940,73970,147000
60,65,8125,6,0,36,702,87351,174000
20,80,10400,7,0,0,1090,76545,152000
60,NA,11029,6,0,65,1054,125527,250000
50,55,7642,7,0,240,912,95431,189950
190,75,11625,5,0,0,1039,66269.5,131500
20,81,9672,6,0,0,1040,76520,152000
20,70,7931,5,0,0,1148,66824,132500
20,72,8640,7,0,140,1372,125976,250580
20,NA,8750,5,0,0,1002,74751,148500
20,67,10656,8,192,80,1638,125269,248900
20,85,6970,4,168,0,1040,65020,129000
60,NA,14762,5,120,144,0,84500,169000
60,80,9938,7,156,90,1050,118525,236000
20,60,6600,5,0,0,894,55197,109500
60,70,8750,6,0,77,804,100652,200500
20,74,8892,5,196,0,105,58052.5,116000
40,60,12144,5,0,28,832,66916,133000
50,52,5720,5,26,0,676,33588,66500
60,75,9000,8,208,364,1184,152330.5,303477
20,94,25286,4,0,0,1064,66657,132250
60,74,8834,9,184,0,1462,175731,350000
85,88,11782,5,192,0,1109,74554.5,148000
20,NA,7000,5,0,0,864,68682,136500
20,60,7024,5,0,49,1090,79045,157000
50,44,13758,7,168,36,1156,94328,187500
60,NA,9636,6,342,40,808,89404,178000
75,60,6204,4,0,188,795,59647.5,118500
20,65,7150,5,0,0,892,50446,100000
120,50,5119,9,97,65,1698,165299,328900
90,70,8393,5,272,54,1626,73313,145000
50,59,16466,5,121,0,816,68158,135500
20,95,15865,8,81,207,2217,135108.5,268000
20,128,12160,6,0,0,1505,75502.5,149500
50,60,8064,5,0,0,672,61786,122900
60,70,11184,6,243,0,918,86709,172500
20,70,8414,6,192,0,1059,77779.5,154500
20,NA,13284,5,511,116,1383,83191.5,165000
90,64,7018,5,0,0,0,59429,118858
60,71,7056,6,0,50,780,70390,140000
30,50,8765,4,0,28,951,53725.5,106500
90,64,7018,5,154,0,0,71476.5,142953
20,100,12919,9,0,67,2330,306993.5,611657
20,65,6993,5,0,0,912,67956,135000
20,NA,7340,4,0,0,858,55429,110000
20,64,8712,5,0,0,992,76996,153000
60,63,7875,7,0,75,783,90391.5,180000
20,50,14859,7,144,60,1670,120835,240000
20,NA,6173,5,0,0,876,63188,125500
20,80,9920,5,0,0,1056,64528,128000
20,116,13501,8,0,60,1623,128311.5,255000
50,86,11500,7,0,0,1017,125508.5,250000
20,NA,8885,5,164,0,864,65932,131000
60,149,12589,6,36,24,742,87371,174000
90,80,11600,5,0,0,1105,77702.5,154300
20,NA,9286,5,173,0,1268,72384,143500
30,51,6120,5,0,0,768,44384,88000
90,82,6270,5,0,0,1001,73000.5,145000
160,30,3000,6,0,234,612,87172.5,173733
160,21,2001,4,0,0,546,37773,75000
20,50,9000,2,0,0,480,17895.5,35311
20,NA,17140,4,0,0,1134,68067,135000
60,103,13125,7,72,192,1104,119552,238000
20,87,11029,6,0,51,1184,88842,176500
60,70,8462,6,300,87,928,100964,201000
90,67,8777,5,0,70,1272,73586,145900
20,65,10237,6,100,0,1316,85653,169990
120,50,8012,6,0,69,1604,97302,193000
20,79,10240,6,384,131,1686,104593,207500
20,NA,15611,5,180,0,1126,88063,175000
60,93,11999,8,104,100,1181,143090.5,285000
60,NA,9900,7,0,43,832,88416,176000
20,NA,11838,8,202,151,1753,119126.5,236500
60,NA,13006,7,0,0,964,111482,222000
20,73,8925,8,100,18,1466,101233,201000
20,70,9100,5,0,0,925,59212.5,117500
20,84,11670,9,0,191,1905,160952.5,320000
20,63,8487,7,192,36,1500,95750,190000
20,313,27650,7,0,0,585,121292.5,242000
30,52,5825,4,0,0,600,40250,79900
20,67,10083,7,0,41,1176,93038,184900
60,75,9675,7,0,48,1113,127056.5,253000
60,73,8760,7,0,90,1391,120595,239799
70,NA,24090,7,56,0,1032,122716,244400
90,55,12640,6,40,0,1728,76314,150900
60,NA,8755,7,0,0,992,107496,214000
90,42,7711,4,321,0,1440,75720,150000
90,100,25000,5,0,0,1632,72316,143000
20,NA,14375,6,0,118,819,69159.5,137500
50,98,8820,5,48,0,1088,62994,124900
80,70,8163,5,86,0,1144,72072,143000
20,85,14536,8,0,252,1616,135808,270000
60,65,14006,7,144,96,936,96718,192500
20,78,9360,6,0,0,1161,99330.5,197500
20,60,7200,5,194,0,864,64932,129000
20,60,7800,5,421,0,828,60364,119900
85,60,7200,5,192,0,768,67334,133900
60,NA,11075,5,305,189,784,86392,172000
90,35,9400,6,0,0,945,64222.5,127500
90,82,7136,6,0,0,979,72989.5,145000
160,24,1300,6,150,0,561,62280.5,124000
20,70,7420,5,0,0,1057,66528.5,132000
20,65,8450,7,0,39,1337,93168.5,185000
160,24,2572,7,0,44,696,77848,155000
20,50,7207,5,117,0,858,58679,116500
60,NA,12227,6,550,282,1330,136665,272000
160,24,2308,6,48,0,804,77902,155000
20,122,11923,9,288,136,1800,120400,239000
60,80,11316,7,0,40,817,107858.5,214900
60,65,10237,6,0,72,783,89841.5,178900
50,130,9600,5,0,70,728,80364,160000
20,NA,7390,5,0,0,1098,68049,135000
50,50,5925,3,0,0,600,19250,37900
190,75,10382,6,0,0,588,70294,140000
50,60,10800,4,0,0,720,67860,135000
160,36,2268,7,0,27,764,86882,173000
120,55,7892,6,28,0,918,50209,99500
20,95,11639,7,0,120,1428,91714,182000
70,60,11414,7,509,135,728,84114,167500
160,NA,2651,7,153,50,673,82836.5,165000
30,51,5900,4,0,0,440,42970,85500
120,35,4274,7,0,116,1241,100570.5,199900
20,68,9450,4,0,0,894,55447,110000
20,80,8816,5,0,80,1121,70060.5,139000
85,NA,12122,7,144,76,944,89672,178400
60,98,12203,8,250,0,1225,168612.5,336000
20,43,3182,7,100,16,1266,80580.5,159895
60,NA,11250,8,0,0,1128,128514,255900
90,75,10125,5,0,0,0,63000,126000
190,68,10880,5,0,48,1164,63082,125000
50,59,5310,6,394,0,485,58742.5,117000
20,83,10159,9,168,95,1930,198561,395192
60,NA,12046,6,0,224,848,97924,195000
60,65,8125,7,0,50,770,98885,197000
60,82,9452,8,0,70,1396,174698,348000
70,121,17671,8,0,169,916,84458,168000
60,80,9760,6,239,42,822,93911,187000
60,68,8846,6,0,35,750,87325,173900
20,96,12456,10,216,48,1700,169600,337500
50,51,4712,4,0,57,747,61173.5,121600
20,NA,10659,5,0,319,1050,68775,136500
20,NA,11717,6,371,0,1442,93221,185000
30,60,9786,3,0,100,1007,46003.5,91000
20,64,6762,7,105,61,1187,103593.5,206000
20,74,10206,3,0,0,0,41000,82000
30,60,5400,5,0,20,691,43345.5,86000
20,75,11957,8,144,104,1574,116787,232000
90,NA,11500,5,0,0,1680,69292.5,136905
120,43,3182,7,156,0,1346,91173,181000
80,65,8385,5,210,0,985,75442.5,149900
20,NA,12155,6,0,0,1657,82578.5,163500
160,21,2217,4,238,0,546,44273,88000
20,43,12118,7,100,48,1710,120855,240000
50,60,6000,5,0,0,1008,51504,102000
50,115,21286,5,0,0,720,67860,135000
90,75,9825,5,0,0,0,50000,100000
70,55,10592,6,96,0,602,82801,165000
30,60,7200,5,0,30,1022,43011,85000
20,60,11664,6,0,130,1082,60141,119200
60,70,8400,8,0,45,810,113905,227000
20,73,11883,7,115,66,1504,102252,203000
120,NA,5814,8,63,0,1220,94360,187500
80,NA,10784,7,164,0,384,80192,160000
120,43,3013,7,142,20,1362,107426,213490
20,60,7024,4,252,64,1132,88566,176000
20,64,7406,7,105,54,1199,97599.5,194000
50,52,9439,5,0,0,912,43956,87000
120,43,3182,7,156,20,1346,96173,191000
20,NA,15498,8,0,72,1565,144282.5,287000
20,70,7700,5,96,0,882,56691,112500
20,73,9300,5,0,0,1268,84384,167500
20,71,9520,8,192,44,1638,147357.5,293077
50,79,9492,5,0,0,768,52884,105000
160,21,1680,6,0,28,672,59336,118000
190,NA,7082,5,0,0,686,80343,160000
75,102,15863,7,136,63,824,98912,197000
60,NA,14541,8,209,55,1338,155669,310000
20,NA,8125,7,0,136,1654,115827,230000
30,50,6305,5,0,0,920,60335,119750
20,NA,11500,4,186,0,0,42000,84000
20,89,12898,9,228,0,1620,158560,315500
60,NA,9240,8,0,45,1055,144027.5,287000
160,21,1533,4,0,0,546,48773,97000
180,21,1477,4,0,0,630,40315,80000
20,88,13125,5,0,0,1134,78067,155000
60,NA,9130,6,0,40,800,86900,173000
120,34,5381,6,170,63,1306,98653,196000
60,86,11839,7,192,121,1475,131877.5,262280
20,80,9600,8,474,120,2524,140262,278000
20,NA,13680,3,0,0,0,69800,139600
60,85,16056,9,214,108,1992,279286.5,556581
20,57,9245,5,0,0,990,72995,145000
20,100,21750,5,0,0,0,57500,115000
20,60,11100,4,0,0,0,42450,84900
20,73,8993,7,0,22,1302,88893.5,176485
20,103,11175,7,0,20,1316,100728.5,200141
60,100,9500,6,0,52,816,82908,165000
20,68,8562,5,116,78,1216,72858,144500
60,90,11367,8,199,60,1065,128032.5,255000
20,104,11361,6,0,0,1193,90596.5,180000
120,43,7052,7,192,36,1364,93607,185850
60,NA,29959,7,168,98,973,124486.5,248000
60,96,11308,9,0,102,1104,168052,335000
50,NA,11275,6,0,0,854,110427,220000
120,41,4920,8,0,0,1338,107419,213500
30,120,18000,3,0,20,894,40947,81000
190,85,13600,5,0,57,662,45331,90000
30,50,6000,6,166,120,1103,55801.5,110500
20,NA,11000,5,0,58,1154,77577,154000
60,80,14000,7,296,44,1306,164653,328000
60,59,7837,6,0,40,799,89399.5,178000
60,80,9760,6,328,128,780,84340,167900
160,42,3964,6,728,20,942,76171,151400
45,60,9600,5,0,0,845,67922.5,135000
20,72,10152,5,0,20,1048,68024,135000
60,78,11700,6,0,0,727,77363.5,154000
50,50,7585,5,0,0,810,46155,91500
60,75,7950,6,252,0,690,80095,159500
20,74,8556,7,140,93,1240,97620,194000
70,75,13125,7,0,0,800,110150,219500
50,60,10800,5,436,21,796,85398,170000
20,NA,15870,5,240,32,1096,69948,138800
120,37,4435,6,140,0,848,78374,155900
20,65,8775,5,0,64,990,63495,126000
20,80,11040,6,55,0,1258,73129,145000
20,75,7500,5,0,0,1040,67020,133000
20,70,8749,7,192,39,1459,96729.5,192000
20,80,8800,6,0,116,1251,80625.5,160000
60,NA,13031,6,315,44,691,94095.5,187500
85,73,9069,6,120,0,936,73968,147000
160,NA,1974,4,120,96,546,42023,83500
60,85,10574,8,160,50,1082,126541,252000
160,24,2522,7,0,40,970,69235,137500
120,37,3316,8,0,84,1247,99123.5,197000
90,60,8544,3,0,0,0,46450,92900
160,24,2160,7,0,48,600,80300,160000
50,60,8400,6,342,0,1181,68840.5,136500
20,71,9230,5,0,64,864,73432,146000
20,74,5868,5,0,0,936,64968,129000
20,78,9317,6,0,22,1314,88873,176432
70,60,6882,6,136,0,684,63842,127000
120,NA,3696,8,0,74,1074,85537,170000
50,50,6000,4,0,0,672,64336,128000
20,82,11880,7,0,0,1271,79135.5,157000
30,60,8400,2,0,0,290,30145,60000
20,61,9758,5,0,0,950,60225,119500
20,70,7000,5,0,16,1010,68005,135000
20,79,8910,6,0,0,655,80077.5,159500
160,24,2016,5,0,0,630,53315,106000
60,98,12256,8,186,32,1463,163231.5,325000
20,114,10357,7,0,244,910,90405,179900
60,168,23257,7,0,100,868,137796.5,274725
60,NA,8063,6,100,48,924,90962,181000
20,107,11362,8,125,185,1836,140918,280000
60,NA,8000,6,224,84,773,94386.5,188000
60,80,10480,7,0,69,803,102901.5,205000
20,73,7100,5,0,0,816,65358,129900
20,66,8923,5,0,18,1008,67754,134500
20,90,5400,5,0,0,833,58916.5,117000
20,93,12085,8,0,0,1734,159867,318000
80,NA,7750,8,120,0,408,92254,184100
20,57,9764,5,0,0,894,65447,130000
80,85,13825,5,280,34,533,70266.5,140000
20,70,7560,5,140,0,1040,67370,133700
30,59,8263,6,0,22,1012,59706,118400
20,84,10084,7,144,20,1552,107226,212900
20,NA,8926,4,64,0,672,56336,112000
20,50,9405,5,0,200,698,59349,118000
80,NA,9125,7,100,25,384,82142,163900
20,60,10434,4,0,0,1005,58002.5,115000
120,53,3684,7,143,20,1373,87686.5,174000
20,182,14572,7,144,36,1530,130265,259000
60,59,11796,7,100,48,847,107923.5,215000
90,60,7200,5,49,0,936,70468,140000
50,65,7804,4,431,44,1122,68061,135000
20,63,10712,5,0,28,974,47237,93500
70,90,9900,6,0,48,1008,59254,117500
60,80,9828,8,0,155,1128,120314,239500
60,57,8773,6,100,38,916,84958,169000
30,60,6180,6,0,128,960,51480,102000
50,80,9600,6,0,0,1032,60016,119000
50,54,6342,5,0,0,780,47390,94000
20,NA,9819,6,264,32,1567,98783.5,196000
30,98,8731,5,0,0,915,72457.5,144000
20,60,7350,5,0,0,952,69976,139000
60,NA,10304,5,448,96,780,99140,197500
60,77,9965,8,125,144,1466,213168,424870
20,NA,9000,5,0,24,1006,40503,80000
190,60,12180,4,0,0,672,40336,80000
50,52,6240,5,0,0,1042,75021,149000
20,NA,11200,6,165,26,1298,90649,180000
70,75,12000,7,0,0,704,87602,174500
50,NA,5700,7,0,0,572,58736,116900
70,50,9000,7,0,0,650,71825,143000
20,57,8280,6,0,0,932,62466,124000
20,134,17755,5,0,140,1466,75683,149900
20,90,14115,6,0,0,1073,115536.5,230000
30,NA,5890,6,0,0,816,60658,120500
60,NA,13700,7,60,84,864,101332,201800
20,90,10768,5,0,21,1437,109718.5,218000
80,85,9350,5,0,92,1219,90559.5,179900
120,34,5001,7,172,62,1314,115657,230000
20,92,11932,8,0,24,1580,118354,235128
60,76,9120,6,0,69,901,92950.5,185000
160,24,2280,6,26,0,855,73427.5,146000
20,NA,14778,6,108,0,1296,112648,224000
20,109,8724,5,0,0,894,64947,129000
90,60,12900,4,120,0,1198,55078.5,108959
80,NA,16157,5,168,180,1360,97680,194000
20,79,9541,7,0,114,1502,117336,233170
20,64,10475,8,160,33,1694,123522,245350
60,58,10852,6,0,38,959,86979.5,173000
70,120,13728,6,0,0,1127,118063.5,235000
60,118,35760,10,361,76,1930,313465,625000
80,76,9880,6,203,0,1096,86048,171000
20,76,9120,6,0,0,1261,82130.5,163000
160,35,4017,7,0,54,625,86262.5,171900
50,138,18030,5,122,0,1598,101049,200500
70,80,16560,6,0,0,952,119976,239000
50,85,10678,8,0,33,1683,143341.5,285000
20,37,6951,5,362,0,876,60188,119500
50,NA,3950,6,0,0,818,57909,115000
50,54,7681,5,192,0,731,77815.5,154900
20,77,8335,5,0,36,0,46500,93000
60,NA,11170,7,0,0,1216,125608,250000
120,64,5587,8,162,53,1600,197050,392500
60,160,15623,10,171,78,2396,373698,745000
30,60,10800,5,229,0,1120,60560,120000
20,50,35133,5,0,263,1572,94136,186700
50,60,9738,5,0,0,784,52842,104900
190,107,10615,3,0,74,978,47989,95000
20,89,12461,8,0,114,1624,131812,262000
60,68,8935,7,144,68,831,97915.5,195000
60,60,7500,7,140,60,994,94997,189000
190,NA,32463,4,439,0,1249,84624.5,168000
160,24,2645,8,206,0,776,87388,174000
50,60,9600,5,0,0,702,62851,125000
120,NA,4500,6,0,304,1224,83112,165000
60,80,9364,6,379,36,663,79331.5,158000
60,51,8029,6,100,24,728,88364,176000
60,58,14054,7,100,17,879,110044.5,219210
75,65,8850,7,0,0,815,72407.5,144000
20,70,9100,7,356,0,1212,89606,178000
20,75,11235,4,0,82,1051,74525.5,148000
20,71,9353,4,0,0,864,58457,116050
60,80,10400,7,198,36,866,99383,197900
50,50,6000,5,0,0,884,58942,117000
20,75,9750,7,74,234,1630,107315,213000
20,78,10140,5,0,88,1056,77278,153500
20,90,14684,7,84,70,2158,137029,271900
20,NA,8900,4,0,42,1056,54028,107000
20,70,9135,6,192,23,1682,100841,200000
20,70,7763,5,0,0,931,70465.5,140000
20,85,10182,8,322,50,1660,145830,290000
60,70,11218,6,635,104,1055,95027.5,189000
50,152,12134,8,325,12,559,82279.5,164000
30,50,9340,4,0,113,672,56836,113000
80,NA,10246,4,88,0,648,72824,145000
85,69,10205,5,150,72,925,67712.5,134500
20,99,7094,5,0,0,894,62947,125000
90,68,8930,6,0,0,0,56000,112000
20,72,8640,8,135,112,1300,115378,229456
50,52,6240,4,0,0,0,40250,80500
160,21,1680,6,201,0,672,46086,91500
20,66,7800,5,0,0,912,57956,115000
20,55,8250,5,0,63,952,67476,134000
50,78,10496,6,0,0,1040,72020,143000
20,89,10680,5,0,30,2136,70018,137900
60,60,15384,7,100,75,788,92394,184000
80,65,10482,6,224,0,588,72794,145000
60,86,14598,6,100,18,894,107447,214000
20,72,8872,5,0,240,912,73956,147000
120,65,8769,9,0,72,1702,184498,367294
80,70,7910,5,0,0,1075,64037.5,127000
90,NA,18890,5,155,24,1361,95680.5,190000
90,70,7728,5,0,18,1106,66803,132500
90,70,9842,4,0,0,0,50900,101800
20,NA,12160,5,0,0,1188,71594,142000
70,55,8525,5,0,192,940,65470,130000
70,96,13132,5,203,40,747,69817,138887
160,36,2628,7,0,27,764,88132,175500
60,41,12393,7,100,48,847,97923.5,195000
20,63,13072,6,0,0,1141,71820.5,142500
20,64,9037,8,120,33,1476,133688,265900
60,65,8158,7,0,63,884,112892,224900
20,83,9849,7,0,56,1689,125008.5,248328
85,85,10625,7,0,120,1053,85526.5,170000
20,107,13891,10,216,229,2076,233538,465000
70,NA,11435,8,0,0,792,115396,230000
80,78,12090,6,268,112,585,89292.5,178000
60,65,8125,7,0,45,756,93628,186500
80,NA,12328,6,0,0,1012,85456,169900
